GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shopping-cart-service,com.globant.academy.model,Customer,0,90,0,14,0,18,0,9,0,2
shopping-cart-service,com.globant.academy.model,CartItem,0,63,0,8,0,13,0,7,0,3
shopping-cart-service,com.globant.academy.model,Product,0,66,0,10,0,14,0,7,0,2
shopping-cart-service,com.globant.academy.model,Status,0,15,0,0,0,3,0,1,0,1
shopping-cart-service,com.globant.academy.model,ShoppingCart,3,39,1,5,0,10,1,4,0,2
shopping-cart-service,com.globant.academy.model,ProductType,0,21,0,0,0,4,0,1,0,1
shopping-cart-service,com.globant.academy,ShoppingCartApp,5,3,0,0,2,1,1,1,1,1
shopping-cart-service,com.globant.academy.exception,CartItemNotFoundException,0,4,0,0,0,2,0,1,0,1
shopping-cart-service,com.globant.academy.exception,ShoppingCartNotFoundException,0,4,0,0,0,2,0,1,0,1
shopping-cart-service,com.globant.academy.exception,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
shopping-cart-service,com.globant.academy.exception,CustomerNotFoundException,0,4,0,0,0,2,0,1,0,1
shopping-cart-service,com.globant.academy.dto,CustomerDTO,28,50,1,11,9,7,1,7,0,2
shopping-cart-service,com.globant.academy.dto,ProductDTO,20,34,1,7,7,5,1,5,0,2
shopping-cart-service,com.globant.academy.dto,Message,0,15,0,0,0,3,0,1,0,1
shopping-cart-service,com.globant.academy.dto,CartItemDTO,0,38,0,6,0,9,0,5,0,2
shopping-cart-service,com.globant.academy.dto,ShoppingCartDTO,20,24,0,2,3,8,2,3,2,2
shopping-cart-service,com.globant.academy.mapper,ModelMapper,26,0,4,0,6,0,4,0,2,0
shopping-cart-service,com.globant.academy.mapper,ProductMapper,0,55,0,0,0,15,0,3,0,3
shopping-cart-service,com.globant.academy.mapper,ShoppingCartMapper,0,65,0,0,0,16,0,3,0,3
shopping-cart-service,com.globant.academy.mapper,CartItemMapper,0,48,0,0,0,13,0,3,0,3
shopping-cart-service,com.globant.academy.mapper,CustomerMapper,0,71,0,0,0,19,0,3,0,3
shopping-cart-service,com.globant.academy.controller,CustomerController,3,63,1,1,0,17,1,6,0,6
shopping-cart-service,com.globant.academy.controller,ControllerAdvice,20,3,0,0,4,1,4,1,4,1
shopping-cart-service,com.globant.academy.controller,ShoppingCartController,99,120,3,3,19,32,9,10,6,10
shopping-cart-service,com.globant.academy.controller,ProductController,3,78,1,1,0,21,1,7,0,7
shopping-cart-service,com.globant.academy.config,RabbitMQConfig,13,0,0,0,3,0,3,0,3,0
shopping-cart-service,com.globant.academy.service,CartItemService,14,97,0,2,2,22,1,8,1,7
shopping-cart-service,com.globant.academy.service,CustomerService,48,97,0,2,13,23,3,7,3,6
shopping-cart-service,com.globant.academy.service,ShoppingCartService,27,172,0,2,4,40,3,11,3,10
shopping-cart-service,com.globant.academy.service,ProductService,0,103,0,2,0,23,0,10,0,9
